AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Gesture
708,-4552,19436,-1472,-2713,-4528,1
1112,-4544,19500,-1400,-2849,-4692,1
1440,-4452,19236,-1353,-2443,-4496,1
1788,-4348,19220,-1226,-1796,-4114,1
1696,-4432,19208,-1125,-1148,-3853,1
1532,-4272,19476,-1089,-814,-3695,1
1420,-4408,19320,-1061,-870,-3647,1
2372,-4388,18504,-1738,-1034,-3842,1
2356,-4396,18448,-1829,-966,-3862,1
2396,-4316,18540,-1946,-814,-3818,1
2700,-4096,18348,-2067,-533,-3815,1
2564,-4460,18688,-2150,-157,-3721,1
2548,-4684,18812,-2177,252,-3719,1
2444,-4568,18844,-2124,392,-3732,1
2372,-4464,18884,-2216,511,-3890,1
2524,-4588,18948,-2258,725,-4045,1
2576,-4728,18856,-2170,1038,-3998,1
2116,-4836,18864,-1252,2413,-3297,1
1916,-4672,18912,-1040,2416,-3303,1
1620,-4360,18588,-1130,2091,-3540,1
1620,-4208,18592,-1309,1712,-3742,1
1756,-4216,18604,-1488,1521,-3738,1
1892,-4416,18696,-1569,1619,-3671,1
2044,-4704,18828,-1638,1811,-3675,1
1960,-4668,18920,-1530,1991,-3534,1
1928,-4636,18736,-1531,2127,-3511,1
2024,-4556,18732,-1436,2284,-3321,1
736,-4600,18692,-1543,1471,-3388,1
648,-4652,18728,-1636,1053,-3668,1
1004,-4688,18696,-1746,634,-3921,1
1224,-4708,18588,-1772,649,-3701,1
1760,-4600,18512,-1748,1246,-3227,1
1644,-4728,18612,-1696,1696,-2840,1
1180,-4840,18660,-1702,1748,-2873,1
1016,-4808,18764,-1733,1264,-3081,1
1208,-4824,18636,-1791,727,-3381,1
1364,-4732,18448,-1919,418,-3672,1
1312,-5116,18928,-1913,2158,-3264,1
1528,-5180,18752,-1946,2220,-3148,1
1840,-5520,18508,-1908,2477,-3097,1
1740,-5576,18620,-1671,2778,-3173,1
1448,-5624,19064,-1509,2972,-3212,1
968,-5584,19184,-1369,2684,-3140,1
716,-5248,19156,-1389,2006,-3304,1
832,-5228,19072,-1402,1381,-3255,1
1076,-4860,18888,-1504,989,-3188,1
1340,-5168,18708,-1563,820,-3244,1
1476,-4848,18124,-1864,1300,-2709,1
1272,-5068,18196,-1969,1284,-2938,1
1064,-5316,18424,-1857,1195,-3126,1
1092,-5372,18384,-1729,1207,-3161,1
1012,-5168,18640,-1622,1284,-3102,1
688,-4920,18456,-1577,1220,-3036,1
748,-4884,18580,-1646,1211,-2879,1
896,-4980,18692,-1687,1170,-2752,1
1120,-5036,18836,-1758,1144,-2551,1
904,-5180,18652,-1759,1046,-2607,1
144,-5600,19008,-1940,-381,-1372,1
356,-5796,18920,-1702,-362,-1243,1
348,-5748,18988,-1508,-375,-1204,1
388,-5868,18908,-1415,-440,-1119,1
368,-5684,18824,-1337,-526,-1171,1
-84,-3548,19072,-944,-421,-548,1
48,-3484,19000,-1035,-349,-566,1
56,-3468,18980,-1089,-451,-524,1
72,-3652,19008,-1197,-381,-602,1
184,-3568,19028,-1255,-241,-775,1
252,-3676,19012,-1234,-198,-789,1
